Sample,Species,Abundance
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Muribaculum_gordoncarteri,34.74397
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Ligilactobacillus_murinus,22.77078
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB70848_SGB95301,11.39147
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB1515_SGB48227,7.06748
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Lactobacillus_intestinalis,4.53257
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_bacterium_A2,2.12958
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB29005_SGB41723,1.7062
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Parabacteroides_goldsteinii,1.27829
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28419_SGB41002,1.27828
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB31838_SGB45216,1.05756
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Eubacteriaceae_bacterium,0.97061
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB29002_SGB41718,0.83544
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB31438_SGB44768,0.82489
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_bacterium,0.73894
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28996_SGB41712,0.63288
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Schaedlerella_arabinosiphila,0.50335
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__bacterium_1XD42_54,0.46936
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB47115_SGB65041,0.38304
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30454_SGB43514,0.32045
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28875_SGB41555,0.2903
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB29685_SGB42494,0.27804
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB29546_SGB42338,0.26329
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28415_SGB40997,0.25217
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30450_SGB43508,0.22965
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28778_SGB41431,0.22048
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Adlercreutzia_equolifaciens,0.21826
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28790_SGB41443,0.21764
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28417_SGB40999,0.17778
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB127981_SGB158615,0.17477
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB115673_SGB41497,0.16755
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28907_SGB41600,0.16224
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Clostridia_bacterium,0.16096
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28860_SGB41529,0.15124
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28865_SGB41537,0.14535
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28894_SGB41575,0.13232
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28901_SGB41592,0.12967
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30455_SGB43519,0.12912
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28928_SGB41627,0.12744
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30461_SGB43530,0.12582
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28439_SGB41022,0.11727
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28398_SGB40979,0.11453
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Oscillibacter_sp_CU971,0.10514
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28916_SGB41612,0.09108
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB140903_SGB43521,0.09063
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB115278_SGB160297,0.08666
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Oscillibacter_SGB43496,0.08651
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28803_SGB41456,0.08453
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30463_SGB43537,0.08394
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Bacillota_unclassified_SGB43543,0.08009
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_unclassified_SGB41424,0.07049
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28430_SGB41013,0.06965
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB31701_SGB45057,0.0678
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Anaerocaecibacter_muris,0.06456
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28818_SGB41473,0.06438
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Akkermansia_muciniphila,0.0643
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28904_SGB41597,0.06328
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Lentihominibacter_hominis,0.06154
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_unclassified_SGB41500,0.05968
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30141_SGB43066,0.05872
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Oscillospiraceae_unclassified_SGB102175,0.05651
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Clostridiaceae_unclassified_SGB41663,0.05538
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28866_SGB41538,0.05427
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28949_SGB41655,0.05356
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Mucispirillum_schaedleri,0.04894
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28881_SGB41561,0.04847
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28934_SGB41635,0.04414
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Oscillospiraceae_bacterium,0.03938
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28913_SGB41607,0.0381
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB29003_SGB41719,0.03803
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Staphylococcus_nepalensis,0.03753
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_unclassified_SGB7271,0.03661
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB58158_SGB79798,0.0364
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB75109_SGB102238,0.0355
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Clostridia_unclassified_SGB59068,0.0347
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28793_SGB41446,0.03331
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30296_SGB43260,0.03094
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB47117_SGB94807,0.0309
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28851_SGB41518,0.02981
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB3109_SGB4119,0.02587
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28769_SGB41421,0.02384
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28830_SGB41486,0.0235
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28948_SGB41654,0.02065
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Oscillibacter_SGB63230,0.01919
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB47156_SGB45129,0.01899
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28776_SGB41429,0.01895
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30475_SGB43559,0.01714
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Clostridium_symbiosum,0.01101
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28904_SGB59802,0.00892
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Bacillota_unclassified_SGB43550,0.0083
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30145_SGB43072,0.00739
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB74395_SGB43523,0.00686
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB31853_SGB45233,0.00621
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28879_SGB41559,0.00603
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB41862_SGB58959,0.00445
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30468_SGB43552,0.00435
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28926_SGB41623,0.00387
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__Thomasclavelia_cocleata,0.00365
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB28965_SGB41675,0.00279
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_species,s__GGB30301_SGB43265,0.00155
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Muribaculum_gordoncarteri,29.0013
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB1515_SGB48227,24.37191
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB70848_SGB95301,16.28871
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Lactobacillus_intestinalis,7.52584
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Parabacteroides_goldsteinii,3.9184
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB31838_SGB45216,1.93927
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB29005_SGB41723,1.76255
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB25535_SGB59638,1.42238
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28415_SGB40997,1.4132
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Ligilactobacillus_murinus,0.85399
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB31438_SGB44768,0.68004
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Akkermansia_muciniphila,0.60742
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28892_SGB41573,0.57105
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28925_SGB41622,0.55191
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28996_SGB41712,0.48991
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_bacterium,0.43091
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28984_SGB41697,0.33871
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_bacterium_A4,0.29344
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__bacterium_1XD42_54,0.2916
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB42544_SGB59739,0.27291
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Clostridia_unclassified_SGB59068,0.25776
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28928_SGB41627,0.2483
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28948_SGB41654,0.20888
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28417_SGB40999,0.20841
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Eubacteriaceae_bacterium,0.17049
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB127981_SGB158615,0.16972
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Schaedlerella_arabinosiphila,0.16853
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB31841_SGB65084,0.15966
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Adlercreutzia_equolifaciens,0.1547
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB29685_SGB42494,0.14427
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB29668_SGB157374,0.14414
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_unclassified_SGB7271,0.14372
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28901_SGB41592,0.14286
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB31440_SGB44770,0.13871
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB31768_SGB45132,0.13364
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28910_SGB41604,0.13327
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Anaerocaecibacter_muris,0.12712
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB115673_SGB41496,0.1153
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Mucispirillum_schaedleri,0.11055
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB47115_SGB65041,0.11017
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28960_SGB41669,0.10911
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB31440_SGB94819,0.10577
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28419_SGB41002,0.09699
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_bacterium_A2,0.0937
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Thomasclavelia_cocleata,0.0923
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB31312_SGB44628,0.09034
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__GGB28439_SGB41022,0.08751
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Lachnospiraceae_unclassified_SGB41500,0.08478
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_species,s__Clostridium_symbiosum,0.08232
